Running 2m test @ http://ip-172-31-8-223.us-east-2.compute.internal:8080
  4 threads and 96 connections
  Thread calibration: mean lat.: 3.404ms, rate sampling interval: 12ms
  Thread calibration: mean lat.: 3.389ms, rate sampling interval: 12ms
  Thread calibration: mean lat.: 3.438ms, rate sampling interval: 12ms
  Thread calibration: mean lat.: 3.407ms, rate sampling interval: 12ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     3.54ms    2.09ms 215.04ms   74.46%
    Req/Sec     2.61k   256.76     3.91k    69.08%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    2.65ms
 75.000%    5.36ms
 90.000%    6.58ms
 99.000%    8.53ms
 99.900%   12.32ms
 99.990%   18.33ms
 99.999%  137.09ms
100.000%  215.17ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.764     0.000000            1         1.00
       1.708     0.100000       140139         1.11
       1.970     0.200000       280116         1.25
       2.187     0.300000       420073         1.43
       2.403     0.400000       559684         1.67
       2.649     0.500000       699944         2.00
       2.799     0.550000       769728         2.22
       2.989     0.600000       839384         2.50
       3.281     0.650000       909416         2.86
       4.463     0.700000       979259         3.33
       5.363     0.750000      1049525         4.00
       5.587     0.775000      1084222         4.44
       5.787     0.800000      1119034         5.00
       5.979     0.825000      1154446         5.71
       6.167     0.850000      1189051         6.67
       6.367     0.875000      1224397         8.00
       6.471     0.887500      1241637         8.89
       6.583     0.900000      1259023        10.00
       6.703     0.912500      1276541        11.43
       6.839     0.925000      1294342        13.33
       6.991     0.937500      1311620        16.00
       7.079     0.943750      1320467        17.78
       7.175     0.950000      1329026        20.00
       7.283     0.956250      1337821        22.86
       7.403     0.962500      1346415        26.67
       7.547     0.968750      1355105        32.00
       7.631     0.971875      1359649        35.56
       7.719     0.975000      1363869        40.00
       7.827     0.978125      1368229        45.71
       7.951     0.981250      1372632        53.33
       8.107     0.984375      1377007        64.00
       8.199     0.985938      1379164        71.11
       8.311     0.987500      1381414        80.00
       8.439     0.989062      1383623        91.43
       8.583     0.990625      1385727       106.67
       8.767     0.992188      1387905       128.00
       8.887     0.992969      1389018       142.22
       9.023     0.993750      1390105       160.00
       9.175     0.994531      1391150       182.86
       9.375     0.995313      1392242       213.33
       9.639     0.996094      1393340       256.00
       9.807     0.996484      1393882       284.44
      10.015     0.996875      1394438       320.00
      10.247     0.997266      1394982       365.71
      10.519     0.997656      1395519       426.67
      10.871     0.998047      1396061       512.00
      11.087     0.998242      1396335       568.89
      11.343     0.998437      1396615       640.00
      11.631     0.998633      1396885       731.43
      11.959     0.998828      1397152       853.33
      12.375     0.999023      1397426      1024.00
      12.639     0.999121      1397568      1137.78
      12.919     0.999219      1397701      1280.00
      13.191     0.999316      1397836      1462.86
      13.503     0.999414      1397975      1706.67
      13.983     0.999512      1398109      2048.00
      14.183     0.999561      1398177      2275.56
      14.495     0.999609      1398245      2560.00
      14.863     0.999658      1398314      2925.71
      15.287     0.999707      1398382      3413.33
      15.727     0.999756      1398450      4096.00
      15.975     0.999780      1398485      4551.11
      16.263     0.999805      1398519      5120.00
      16.527     0.999829      1398553      5851.43
      17.071     0.999854      1398587      6826.67
      17.599     0.999878      1398621      8192.00
      17.887     0.999890      1398638      9102.22
      18.399     0.999902      1398655     10240.00
      18.847     0.999915      1398673     11702.86
      19.503     0.999927      1398689     13653.33
      21.231     0.999939      1398707     16384.00
      21.871     0.999945      1398715     18204.44
      22.591     0.999951      1398723     20480.00
      25.071     0.999957      1398732     23405.71
      25.759     0.999963      1398740     27306.67
      26.799     0.999969      1398749     32768.00
      27.519     0.999973      1398753     36408.89
      29.279     0.999976      1398757     40960.00
      37.471     0.999979      1398762     46811.43
      62.111     0.999982      1398766     54613.33
      86.975     0.999985      1398770     65536.00
     102.079     0.999986      1398772     72817.78
     117.439     0.999988      1398774     81920.00
     137.087     0.999989      1398777     93622.86
     152.959     0.999991      1398779    109226.67
     163.199     0.999992      1398781    131072.00
     167.295     0.999993      1398782    145635.56
     172.159     0.999994      1398783    163840.00
     180.223     0.999995      1398784    187245.71
     183.807     0.999995      1398785    218453.33
     191.871     0.999996      1398786    262144.00
     195.455     0.999997      1398787    291271.11
     195.455     0.999997      1398787    327680.00
     203.135     0.999997      1398788    374491.43
     203.135     0.999998      1398788    436906.67
